"Starfsemi","ÍSAT2008"
"Hrástál, framleiðsla","24100"
"Hrátóbak, heildsala","46210"
"Hráull, heildsala","46240"
"Hreindýraveiðar","01700"
"Hreingerning","81210"
"Hreingerningarefni, framleiðsla","20410"
"Hreingerningarefni, heildsala","46442"
"Hreinlætistæki úr leir og postulíni, framleiðsla","23420"
"Hreinlætistæki úr plasti, framleiðsla","22230"
"Hreinlætistæki, heildsala","46730"
"Hreinlætistæki, málmur, framleiðsla","25990"
"Hreinlætistæki, plast, framleiðsla","22230"
"Hreinlætistæki, smásala","47521"
"Hreinlætistæki, uppsetning","43220"
"Hreinlætisvörur úr gúmmíi, framleiðsla","22190"
"Hreinsiefni, framleiðsla","20410"
"Hreinsiefni, heildsala","46442"
"Hreinsiþurrkur, framleiðsla","17220"
"Hreinsun málma","25610"
"Hreinsun nýbygginga","43390"
"Hressingarhæli með hjúkrun","87100"
"Hreyfilhlutar í vélhjólahreyfla, framleiðsla","29320"
"Hreyfiskynjarar, framleiðsla","26510"
"Hreyflar í báta og skip, framleiðsla","28110"
"Hreyflar í loftför, framleiðsla","30300"
"Hreyflar í vélhjól, framleiðsla","30910"
"Hreyflar í vörubíla, framleiðsla","29100"
"Hreyflar í ökutæki, framleiðsla","29100"
"Hreyflar til iðnaðarnota, framleiðsla","28110"
"Hringekjur, framleiðsla","28990"
"Hrísgrjón, framleiðsla","10610"
"Hrísgrjón, mölun","10610"
"Hrísgrjón, ræktun","01120"
"Hrísmjöl, framleiðsla","10610"
"Hrísmjöl, heildsala","46389"
"Hrogn, heildsala","46381"
"Hrogn, söltun","10202"
"Hrossarækt","01430"
"Hrossaræktarfélög","01620"
"Hrossatamningar","01620"
"Hugbúnaðargerð","62010"
"Hugbúnaður, heildsala","46510"
"Hugbúnaður, sérsmíði","62010"
"Hugbúnaður, smásala","47410"
"Hugbúnaður, uppsetning","62090"
"Hugbúnaður, útgáfa","58290"
"Humar, frysting","10201"
"Humarveiðibátar, útgerð","03112"
"Hunang, framleiðsla","01499"
"Hundahótel","96090"
"Hundaræktun","01499"
"Hundasnyrting","96090"
"Hundaþjálfun","96090"
"Hurðir í bíla, framleiðsla","29320"
"Hurðir úr plasti, framleiðsla","22230"
"Hurðir, heildsala","46730"
"Hurðir, ísetning","43320"
"Hurðir, málmur, framleiðsla","25120"
"Hurðir, plast, framleiðsla","22230"
"Hurðir, viður, framleiðsla","16230"
"Húðflúr- og götunarstofur","96090"
"Húðir frá sláturhúsum, framleiðsla","10110"
"Húðir, framleiðsla","10110"
"Húðir, heildsala","46240"
"Húðsápa, framleiðsla","20420"
"Húðun málma","25610"
"Húfur, framleiðsla","14190"
"Húfur, heildsala","46420"
"Húfur, smásala","47711"
"Húsbílar, heild- og smásala","45191"
"Húsbyggingar","41200"
"Húsdýraáburður, dreifing","01610"
"Húsdýrafóður, framleiðsla","10910"
"Húsdýrasala, umboðsverslun","46110"
"Húsdýravistun","01620"
"Húseiningar úr steinsteypu, framleiðsla","23610"
"Húsfélög fyrirtækja með launuðu starfsfólki","81100"
"Húsfélög fyrirtækja, án launaðs starfsfólks","68320"
"Húsfélög íbúðareigenda","94991"
"Húsgagnaábreiður, framleiðsla","13920"
"Húsgagnaáklæði, heildsala","46410"
"Húsgagnalökkun","31090"
"Húsgagnasmiðir","31090"
"Húsgagnaverslanir","47591"
"Húsgögn fyrir atvinnuhúsæði, framleiðsla","31010"
"Húsgögn úr steini, framleiðsla","23700"
"Húsgögn, framleiðsla","31"
"Húsgögn, heildsala","46470"
"Húsgögn, smásala","47591"
"Húsgögn, umboðsverslun","46150"
"Húsgögn, viðgerðir","95240"
"Húsgögn, yfirborðsmeðferð ","31090"
"Húsmæðrafélög","94999"
"Húsnæði, standsetning","41200"
"Húsvagnar, leiga","77390"
"Hvalkjöt, frysting","10110"
"Hvallýsi, bræðsla","10203"
"Hvalmjöl, framleiðsla","10203"
"Hvalveiðiskip, útgerð","03113"
"Hvarfakútar fyrir ökutæki, framleiðsla","29320"
"Hveiti, framleiðsla","10610"
"Hveiti, heildsala","46389"
"Hveiti, ræktun","01110"
"Hvellettur, framleiðsla","20510"
"Hverfisteinar, framleiðsla","23910"
"Hverflar, framleiðsla","28110"
"Hvítkál, ræktun","01139"
"Hvítvín, framleiðsla","11020"
"Hýdrólískt kalk, framleiðsla","23520"
"Hæfingarstöðvar","88100"
"Hækjur, framleiðsla","32500"
"Hælar, fyrir skófatnað, framleiðsla","15200"
"Hænur, eldi","01471"
"Hönnunarstarfsemi","74100"
"Hörpudiskur, frysting","10201"
"Iðjuþjálfar","86909"
"Iðnaðargas, framleiðsla","20110"
"Iðnaðarofnar, framleiðsla","28210"
"Iðnaðartextílar, framleiðsla","13960"
"Iðnaðarvélar, umboðsverslun","46140"
"Iðnaðarvélar, uppsetning","33200"
"Iðnaðarþjarkar, handstýrðir, framleiðsla","28220"
"Iðnaðarþjarkar, heildsala","46699"
"Iðnhönnun","74100"
"Iðnskólar","85320"
"Iðnþjarkar, framleiðsla","28990"
"Illgresiseyðir, framleiðsla","20200"
"Illgresiseyðir, heildsala","46750"
"Ilmefni fyrir húsakynni, framleiðsla","20410"
"Ilmefni fyrir ilmvötn, framleiðsla","20530"
"Ilmefni fyrir matvæli, framleiðsla","20530"
"Ilmolíur, framleiðsla","20530"
"Ilmolíur, heildsala","46750"
"Ilmúðarar, framleiðsla","32990"
"Ilmvatn, framleiðsla","20420"
"Ilmvatn, smásala","47750"
"Ilmvökvi, eimaður, framleiðsla","20530"
"Ilmvötn, heildsala","46450"
"Innanhússhönnuðir","74100"
"Innheimtuþjónusta","82910"
"Inniskór, framleiðsla","15200"
"Inniskór, heildsala","46420"
"Innkaupakerrur, framleiðsla","30990"
"Innkaupakerrur, heildsala","46699"
"Innkaupapokar úr pappír, framleiðsla","17210"
"Innkaupapokar úr plasti, framleiðsla","22229"
"Innréttingar, smásala","47521"
"Innréttingar, uppsetning","43320"
"Inntakslokar, framleiðsla","28140"
"Internet, uppboð","47910"
"Internetþjónusta, veiting","61900"
"Inúlín, framleiðsla","10620"
"Íbúðalánasjóðir","64920"
"Íbúðarhúsnæði, leiga","68201"
"Íhlutir í bíla, framleiðsla","29320"
"Ílát úr gleri eða kristal, framleiðsla","23130"
"Ílát úr málmi, framleiðsla","25290"
"Ílát úr pappa og pappír, framleiðsla","17210"
"Ílát úr plasti, framleiðsla","22229"
"Ís til matar, framleiðsla","10520"
"Ís, heildsala","46389"
"Ísbílar","56100"
"Ísbúðir","47240"
"Ísetning glers og spegla o.þ.h.","43342"
"Ísetning hurða, glugga o.þ.h.","43320"
"Íseyðingarefni, framleiðsla","20590"
"Ísfisktogarar, útgerð","03112"
"Ísskápar til heimilisnota, framleiðsla","27510"
"Ísskápar, smásala","47540"
"Íþrótta- og tómstundakennsla","85510"
"Íþróttabúnaður, framleiðsla","32300"
"Íþróttabúnaður, heildsala","46490"
"Íþróttabúnaður, smásala","47640"
"Íþróttadómarar","93190"
"Íþróttafatnaður, framleiðsla","14130"
"Íþróttafatnaður, heildsala","46420"
"Íþróttafatnaður, smásala","47640"
"Íþróttafélög","93120"
"Íþróttahanskar, framleiðsla","32300"
"Íþróttahús, rekstur","93110"
"Íþróttaleikvangar, bygging","42990"
"Íþróttaleikvangar, rekstur","93110"
"Íþróttamannvirki, rekstur","93110"
"Íþróttasambönd","93120"
"Íþróttaskór, framleiðsla","15200"
"Íþróttaskór, heildsala","46420"
"Íþróttavörur, framleiðsla","32300"
"Íþróttavörur, heildsala","46490"
"Íþróttavörur, smásala","47640"
"Jaðartæki fyrir tölvur, smásala","47410"
"Jafnblönduð matvæli, framleiðsla","10860"
"Jafnstraumsrafalar, framleiðsla","27110"
"Jakkaföt, framleiðsla","14130"
"Jakkaföt, heildsala","46420"
"Jakkaföt, smásala","47711"
"Jakkar, framleiðsla","14130"
"Jakkar, heildsala","46420"
"Jakkar, smásala","47711"
"Jarðaber, ræktun","01250"
"Jarðbik, nám","08990"
"Jarðefnakönnun","71122"
"Jarðfræðilegar rannsóknir","71122"
"Jarðgangabor, framleiðsla","28920"
"Jarðgangagerð","42130"
"Jarðgas, heildsala","46710"
"Jarðgas, vinnsla","06200"
"Jarðgasleit","71122"
"Jarðgögn, gjaldtaka, rekstur","52210"
"Jarðhnetur, ræktun","01110"
"Jarðræktarráðgjöf","74900"
"Jarðsprengjuleitartæki, framleiðsla","26510"
"Jarðvegskönnun vegna byggingarframkvæmda","43130"
"Jarðvegsverktakar","43120"
"Jarðvegsvinna","43120"
"Jarðvegsvinnuvélar fyrir landbúnað, framleiðsla","28300"
"Jarðvegsvinnuvélar fyrir landbúnað, heildsala","46610"
"Jarðvegur, afmengun","39000"
"Jarðvinnuvélar, framleiðsla","28920"
"Jarðýtur með stjórnanda, leiga","43990"
"Jarðýtur, framleiðsla","28920"
"Járn, kaldmótun, framleiðsla","24330"
"Járn, kaldvalsað, framleiðsla","24320"
"Járnabinding bygginga","43990"
"Járnastangir, kalddráttur, framleiðsla","24310"
"Járnastangir, valsaðar, framleiðsla","24100"
"Járnblendi, framleiðsla","24100"
"Járnbrautastöðvar","52210"
"Járnbrautir, lagning","42120"
"Járnbrautir, viðgerðir","33170"
"Járnframleiðsla","24100"
"Járnkís, brennsla","20130"
"Járnnám","07100"
"Járnplötur, valsaðar, framleiðsla","24100"
"Járnprófílar, valsaðir, framleiðsla","24100"
"Járnrör, ekki steypt, framleiðsla","24200"
"Járnrör, steypt, framleiðsla","24510"
"Járnsalli, framleiðsla","24100"
"Járnsteypa","24510"
"Járnvörur, heildsala","46740"
"Járnvörur, smásala","47521"
"Járnvörur, steyping","24510"
"Járnvörur, umboðsverslun","46150"
"Jógúrt, framleiðsla","10510"
"Jógúrt, heildsala","46330"
"Jólatré, heildsala","46220"
"Jólatré, ræktun","01290"
"Jólatrésseríur, framleiðsla","27400"
"Jurtalyf, framleiðsla","21200"
"Jurtamjöl, framleiðsla","10410"
"Jurtaolíur, framleiðsla","10410"
"Jurtaseyði, framleiðsla","10830"
"Jurtate, framleiðsla","10830"
"Jurtate, heildsala","46370"
"Jurtate, til lækninga, framleiðsla","21200"
"Jurtate, til lækninga, heildsala","46460"
"Jurtavörur til lyfjagerðar, vinnsla","21200"
"Kaðlar úr málmi, framleiðsla","25930"
"Kaðlar úr tilbúnum trefjum, framleiðsla","20600"
"Kaðlar, framleiðsla","13940"
"Kaðlar, heildsala","46691"
"Kaðlar, viðgerð","33190"
"Kafarastarfsemi","52220"
"Kaffi, framleiðsla","10830"
"Kaffi, heildsala","46370"
"Kaffi, ræktun","01270"
"Kaffi, smásala","47290"
"Kaffibarir","56300"
"Kaffibrennsla","10830"
"Kaffihús","56300"
"Kaffihús, megináhersla á matsölu","56100"
"Kaffilíki, framleiðsla","10830"
"Kaffivélar, framleiðsla","27510"
"Kaffivélar, heildsala","46430"
"Kaffivélar, smásala","47540"
"Kakó, framleiðsla","10820"
"Kakó, heildsala","46370"
"Kakó, ræktun","01270"
"Kakómjólk, framleiðsla","10510"
"Kakómjólk, heildsala","46330"
"Kalddráttur","24310"
"Kaldmótun","24330"
"Kaldvölsun","24320"
"Kalíumsölt, hrá, framleiðsla","20150"
"Kalk, framleiðsla","23520"
"Kalk, nám","08110"
"Kalkframleiðsla","23520"
"Kalkipappír, framleiðsla","17230"
"Kalkipappír, heildsala","46490"
"Kalkúnarækt","01471"
"Kambgarn, spuni","13100"
"Kambgarn, vefnaður","13200"
"Kampavín, framleiðsla","11020"
"Kanínur, ræktun","01491"
"Kanínur, slátrun","10110"
"Kanóar, smíði","30120"
"Kantsteinar úr steinsteypu, framleiðsla","23610"
"Kaplar til iðnaðarnota, heildsala","46699"
"Kaplar, einangraðir, framleiðsla","27320"
"Karamellur, framleiðsla","10820"
"Kartöfluflögur, framleiðsla","10310"
"Kartöflumjöl, framleiðsla","10310"
"Kartöflur, afhýðing","10310"
"Kartöflur, frysting","10310"
"Kartöflur, heildsala","46310"
"Kartöflur, ræktun","01132"
"Kartöflur, vinnsla","10310"
"Kartöflustappa, framleiðsla","10310"
"Kasín, framleiðsla","10510"
"Kassar úr léttmálmum, framleiðsla","25920"
"Kassar úr pappa, framleiðsla","17210"
"Kassar úr plasti, framleiðsla","22229"
"Kastarar, framleiðsla","27400"
"Kasúhnetur, ræktun","01250"
"Katlar úr járni, framleiðsla","25990"
"Katlar, rafmagns, til heimilisnota, framleiðsla","27510"
"Kattahótel","96090"
"Kattarsandur, framleiðsla","23990"
"Kauphallarstarfsemi","66110"
"Kaviar, heildsala","46381"
"Kavíar, framleiðsla","10204"
"Kál, ræktun","01139"
"Keðjur, málmur, framleiðsla","25930"
"Kefli úr pappa, framleiðsla","17290"
"Keilubrautir, uppsetning","33200"
"Keilusalir, rekstur","93110"
"Kennsla","85"
"Keppnishaldarar (íþróttir)","93190"
"Ker, geymar o.þ.h. úr málmi","25290"
"Kerfisleigur","63110"
"Kerfisveitur","63110"
"Kertastjakar, járn, framleiðsla","25990"
"Kerti, framleiðsla","32990"
"Kettir, ræktun","01499"
"Kex, framleiðsla","10720"
"Kex, heildsala","46360"
"Kexframleiðsla","10720"
"Kindur, ræktun","01450"
"Kirkjugarðar","96030"
"Kirkjur","94910"
"Kirsuber, ræktun","01240"
"Kirtlavökvi, framleiðsla","21100"
"Kírópraktorar","86909"
"Kjarnaávextir, ræktun","01240"
"Kjarnorkueldsneyti, framleiðsla","24460"
"Kjarnorkuúrgangur, meðhöndlun","38220"
"Kjólaefni, heildsala","46410"
"Kjólaefni, smásala","47510"
"Kjólameistarar","14130"
"Kjólar, framleiðsla","14130"
"Kjólar, heildsala","46420"
"Kjólar, smásala","47711"
"Kjúklingar, eldi","01471"
"Kjörbúðir","47111"
"Kjöt og kjötvörur, smásala","47220"
"Kjöt, heildsala","46320"
"Kjöt, vinnsla","10130"
"Kjötálegg, framleiðsla","10130"
"Kjötbúðir","47220"
"Kjötkraftsteningar, framleiðsla","10890"
"Kjötkraftur, framleiðsla","10890"
"Kjötkraftur, heildsala","46320"
"Kjötmjöl, framleiðsla","10110"
"Kjötslátrun","10110"
"Kjötvörur, framleiðsla","10130"
"Kjötvörur, heildsala","46320"
"Klakstöðvar fyrir alifugla","01471"
"Klaustur","94910"
"Klefaeiningar úr málmi, framleiðsla","25110"
"Klossar, framleiðsla","15200"
"Klossar, heildsala","46420"
"Klósett, heildsala","46730"
"Klósett, keramík, framleiðsla","23420"
"Klósett, smásala","47521"
"Klósettpappír, framleiðsla","17220"
"Klósettsetur, heildsala","46730"
"Klósettsetur, plast, framleiðsla","22230"
"Klukkugler, framleiðsla","23190"
"Klukkuhús, framleiðsla","26520"
"Klukkusmíði","26520"
"Klukkuviðgerðir","95250"
"Klukkuvísar, framleiðsla","26520"
"Klæðningar úr áli, framleiðsla","25110"
"Klæðskerar","14130"
"Knattspyrnufélög","93120"
"Knattspyrnuvellir, rekstur","93110"
"Koks, framleiðsla","19100"
"Koks, heildsala","46710"
"Kol, heildsala","46710"
"Kol, smásala","47789"
"Kolagas, framleiðsla","19100"
"Kolanám","05"
"Kolaofn, heildsala","46490"
"Kolaofnar, framleiðsla","27520"
"Koltvísýringur, framleiðsla","20110"
"Kommóður, framleiðsla","31090"
"Kommóður, heildsala","46470"
"Kommóður, smásala","47591"
"Konfekt, framleiðsla","10820"
"Konfekt, heildsala","46360"
"Konfekt, smásala","47240"
"Koníak, framleiðsla","11010"
"Kopar, framleiðsla","24440"
"Kopar, nám","07290"
"Koparframleiðsla","24440"
"Korkvörur, framleiðsla","16290"
"Korkvörur, heildsala","46490"
"Korkvörur, smásala","47599"
"Korn, heildsala","46210"
"Kornflögur, framleiðsla","10610"
"Korngeymslur, rekstur","52100"
"Kornmölun","10610"
"Kornmölunarvélar, framleiðsla","28930"
"Kornolía, framleiðsla","10620"
"Kornrækt","01110"
"Kornvörur, framleiðsla","10610"
"Kóbalt, nám","07290"
"Kórund, tilbúinn, framleiðsla","23910"
"Krabbadýr, frysting","10201"
"Kraftsperrur úr stáli eða járni, framleiðsla","25110"
"Kranar í hitunarkerfi, framleiðsla","28140"
"Kranar í hreinlætistæki, framleiðsla","28140"
"Kranar með stjórnanda, leiga","43990"
"Kranar og lokar, framleiðsla","28140"
"Kranar, heildsala","46740"
"Kranar, lyftitæki, framleiðsla","28220"
"Krár","56300"
"Kreppappír, framleiðsla","17120"
"Kristalsverslanir","47599"
"Kristalsvörur, heildsala","46441"
"Krít, nám","08110"
"Krossviður, framleiðsla","16210"
"Krossviður, heildsala","46730"
"Krókar, málmur, framleiðsla","25990"
"Króm, framleiðsla","24450"
"Króm, frumvinnsla","24450"
"Króm, nám","07290"
"Krómframleiðsla","24450"
"Krómhúðun málma","25610"
"Krukkur úr leir eða postulíni, framleiðsla","23490"
"Krukkur úr trefjasementi, framleiðsla","23650"
"Krullujárnum, framleiðsla","27510"
"Krydd, framleiðsla","10840"
"Krydd, heildsala","46370"
"Kryddjurtir, ræktun","01280"
"Kryddplöntur, ræktun","01280"
"Kryddsósur, framleiðsla","10840"
"Kubbar, leikföng, framleiðsla","32400"
"Kúlulegur, framleiðsla","28150"
"Kúlupennar, framleiðsla","32990"
"Kúluspil, viðgerð","33190"
"Kúskus, framleiðsla","10730"
"Kústar, framleiðsla","32910"
"Kútagas, heildsala","46710"
"Kvars, nám","08990"
"Kveikjarar, framleiðsla","32990"
"Kveikjarar, heildsala","46490"
"Kveikjukerti, framleiðsla","29310"
"Kveikjur fyrir brunahreyfla, framleiðsla","29310"
"Kveikjurafalar, framleiðsla","29310"
"Kvenfataverslanir","47711"
"Kvennaathvarf","88990"
"Kvikmynda- og skyggnusýningarvélar, framleiðsla","26700"
"Kvikmyndahús","59140"
"Kvikmyndaklúbbar","59140"
"Kvikmyndaklúbbar, áhugamanna","94999"
"Kvikmyndasýningar","59140"
"Kvikmyndir, dreifing","59130"
"Kvikmyndir, eftirvinnsla","59120"
"Kvikmyndir, fjölföldun","18200"
"Kvikmyndir, framleiðsla","59110"
"Kvikmyndir, upptaka","59110"
"Kvöldskólar fyrir fullorðna","85590"
"Kynbótastöðvar","01620"
"Kyndiolía, heildsala","46710"
"Kynlífsvörur úr gúmmíi, framleiðsla","22190"
"Kæfa, framleiðsla","10130"
"Kæfa, heildsala","46320"
"Kæligas, framleiðsla","20110"
"Kæligeymslur","52100"
"Kælikerfi, ekki til heimilisnota, framleiðsla","28250"
"Kælikerfi, heildsala","46699"
"Kælikerfi, uppsetning og viðgerð","43220"
"Kæliskápar, til heimilisnota, framleiðsla","27510"
"Kæliskápar, til heimilisnota, heildsala","46430"
"Kæliskápar, til heimilisnota, smásala","47540"
"Kælitæki til iðnaðarnota, framleiðsla","28250"
"Kælitæki til iðnaðarnota, umboðsverslun","46140"
"Köfnunarefni, framleiðsla","20110"
"Köfnunarefni, vörur úr, framleiðsla","20150"
"Kökugerð","10710"
"Kökur, geymsluþolnar, framleiðsla","10720"
"Kökur, heildsala","46360"
"Kökur, smásala","47240"
"Kölnarvatn, framleiðsla","20420"
"Könnur úr gleri eða kristal, framleiðsla","23130"
"Könnur, gler, framleiðsla","23130"
"Körfubílar, leiga með stjórnanda","43990"
"Körfur og tágavörur, framleiðsla","16290"
"Lagerinnréttingar, framleiðsla","31010"
"Lagmeti úr fiskafurðum, framleiðsla","10204"
"Lakkframleiðsla","20300"
"Lakkleður, framleiðsla","15110"
"Lakkmálning, framleiðsla","20300"
"Lakkrís, framleiðsla","10820"
"Lakkrís, heildsala","46360"
"Lakkrís, smásala","47240"
"Lamir, framleiðsla","25720"
"Lampa- og raftækjaverslun","47592"
"Lampabúðir","47592"
"Lampahlutar úr plasti, framleiðsla","22290"
"Lampar, framleiðsla","27400"
"Lampaskermar, framleiðsla","27400"
"Landakort, heildsala","46490"
"Landakort, smásala","47610"
"Landakort, útgáfa","58110"
"Landbúnaðarhrávörur, umboðsverslun","46110"
"Landbúnaðarráðunautar","74900"
"Landbúnaðartæki, heildsala","46610"
"Landbúnaðarvélar án stjórnanda, leiga","77310"
"Landbúnaðarvélar, framleiðsla","28300"
"Landbúnaðarvélar, heildsala","46610"
"Landbúnaðarvélar, leiga","77310"
"Landbúnaðarvélar, umboðsverslun","46140"
"Landbúnaðarvörur, heildsala","46210"
"Landbúnaður, blandaður búskapur jarðyrkju og búfjárræktar","01500"
"Landbúnaður, hráefni, umboðsverslun","46110"
"Landhelgisgæsla","84240"
"Landmælingar","71122"
"Landslagsarkitektar","71110"
"Landslagshönnun","71110"
"Laukur, ræktun","01139"
"Lausblaðamöppur úr pappa, framleiðsla","17230"
"Lausblaðamöppur, heildsala","46490"
"Lánstraustupplýsingar","82910"
"Lásar, framleiðsla","25720"
"Lásar, heildsala","46740"
"Lásar, viðgerðir","95290"
"Leður, framleiðsla","15110"
"Leður, heildsala","46240"
"Leður, sútun","15110"
"Leðurfatnaður, framleiðsla","14110"
"Leðurfatnaður, heildsala","46420"
"Leðurvörur, heildsala","46490"
"Leðurvörur, umboðsverslun","46160"
"Leðurvörur, viðgerðir","95230"
"Leðurvöruverslanir","47722"
"Legghlífar, framleiðsla","14310"
"Legsteinar, framleiðsla","23700"
"Legur, framleiðsla","28150"
"Leiðsögubúnaður, framleiðsla","26510"
"Leiðsögubúnaður, heildsala","46699"
"Leiðsögumenn","79900"
"Leiga á atvinnuhúsnæði","68202"
"Leiga á bátum","77340"
"Leiga á bátum til tómstundagamans","93290"
"Leiga á bílum","77110"
"Leiga á blómum og plöntum","77290"
"Leiga á borðbúnaði","77290"
"Leiga á bókum","77290"
"Leiga á búningum","77290"
"Leiga á byggingarkrönum með stjórnanda","43990"
"Leiga á dráttarvélum","77310"
"Leiga á fatnaði","77290"
"Leiga á flugvélum án áhafnar","77350"
"Leiga á flugvélum með áhöfn, til farþegaflutninga","51102"
"Leiga á flugvélum með áhöfn, til vöruflutninga","51210"
"Leiga á gámum","77390"
"Leiga á geisladiskum (cd)","77220"
"Leiga á glervörum","77290"
"Leiga á gullvörum","77290"
"Leiga á heimilistækjum","77290"
"Leiga á hljóðfærum","77290"
"Leiga á hugverkum","77400"
"Leiga á húsbílum","77120"
"Leiga á húsgögnum","77290"
"Leiga á húsvögnum","77390"
"Leiga á íbúðarhúsnæði","68201"
"Leiga á íþróttabúnaði","77210"
"Leiga á kanóum","77210"
"Leiga á landbúnaðarvélum án stjórnanda","77310"
"Leiga á landi og landréttindum","68203"
"Leiga á leikmunum","77290"
"Leiga á leirvörum","77290"
"Leiga á ljósakerfum og hljóðkerfum","77390"
"Leiga á ljósritunarvélum","77330"
"Leiga á loftförum án áhafnar","77350"
"Leiga á loftförum með áhöfn, til farþegaflutninga","51102"
"Leiga á myndböndum","77220"
"Leiga á mynddiskum (dvd)","77220"
"Leiga á mælibúnaði án umsjónamanns","77390"
"Leiga á námubúnaði án stjórnenda","77390"
"Leiga á olíuvinnslubúnaði án stjórnenda","77390"
"Leiga á rafbúnaði til heimilisnota","77290"
"Leiga á reiðhjólum","77210"
"Leiga á samkomutjöldum","77390"
"Leiga á sendibílum með bílstjóra","49411"
"Leiga á silfurvörum","77290"
"Leiga á sjálfsalaleiktækjum","77390"
"Leiga á sjónvörpum","77290"
"Leiga á skartgripum","77290"
"Leiga á skemmtibátum án áhafnar","77210"
"Leiga á skipum, án áhafnar","77340"
"Leiga á skíðum","77210"
"Leiga á skrifstofuvélum","77330"
"Leiga á textílvörum","77290"
"Leiga á tjaldvögnum","77390"
"Leiga á tjöldum","77210"
"Leiga á tómstundabátum án áhafnar","77210"
"Leiga á tölvum","77330"
"Leiga á vélhjólum","77390"
"Leiga á vélum og tækjum til heimilisnota","77290"
"Leiga á vikublöðum","77290"
"Leiga á vinnupöllum án uppsetningar","77320"
"Leiga á vinnuvélum án stjórnanda","77320"
"Leiga á vinnuvélum með stjórnanda","43990"
"Leiga á vinnuvélum og tækjum til byggingaframkvæmda án stjórnenda","77320"
"Leiga á vörubílum með bílstjóra","49412"
"Leiga á vörubrettum","77390"
"Leiga á vöruflutningabílum án bílstjóra","77120"
"Leiga á vörum til frístunda og íþrótta","77210"
"Leiga og rekstrarleiga á búnaði til kvikmyndaframleiðslu","77390"
"Leigjendasamtök","94999"
"Leigubílar, akstur","49320"
"Leigubílastöðvar","52210"
"Leigubílastöðvar, rekstur","52210"
"Leiguflug","51102"
"Leigumiðlun","68310"
"Leikarar, sjálfstætt starfandi","90010"
"Leikfangaverslanir","47650"
"Leikföng, framleiðsla","32400"
"Leikföng, heildsala","46490"
"Leikföng, smásala","47650"
"Leikhús, rekstur","90040"
"Leikjatölvur, framleiðsla","26400"
"Leikjatölvur, heildsala","46430"
"Leikjatölvur, smásala","47410"
"Leiklistarskólar, þó ekki á háskólastigi","85520"
"Leiklistastarfsemi","90010"
"Leikskólar","85100"
"Leikstjórar","90020"
"Leiktækjarekstur","93290"
"Leir, nám","08120"
"Leirmunir, framleiðsla","23410"
"Leirpottar, framleiðsla","23490"
"Leirtau, smásala","47599"
"Leirvörur til nota á rannsóknarstofum, framleiðsla","23440"
"Leirvörur til nota í efnaiðnaði, framleiðsla","23440"
"Leirvörur til tæknilegra nota, framleiðsla","23440"
"Lendingarbúnaður, flug, framleiðsla","30300"
"Lestarsæti, framleiðsla","30200"
"Leturgröftur","32120"
"Leturgröftur á gull- og silfurmuni","32120"
"Leynilögregluþjónusta","80300"
"Leysiefni, lífræn, framleiðsla","20300"
"Léttmálmur, umbúðir, framleiðsla","25920"
"Léttmjólk, framleiðsla","10510"
"Léttvín, framleiðsla","11020"
"Lifrarkæfa, framleiðsla","10130"
"Lifrarkæfa, heildsala","46320"
"Listafélög","94999"
"Listamenn, þó ekki sviðslistamenn, sjálfstætt starfandi","90030"
"Listamiðstöðvar","90040"
"Listaskólar","85520"
"Listasöfn","91020"
"Listaverk, heildsala","46490"
"Listaverk, lagfæringar","90030"
"Listaverk, smásala","47783"
"Listaverkasala","47783"
"Listdansflokkar","90010"
"Listmunahús","47783"
"Listmunaverslanir","47783"
"Listmunir, heildsala","46490"
"Listmunir, umboðsverlsun","46180"
"Listnám, þó ekki á háskólastigi","85520"
"Litarefni, framleiðsla","20120"
"Litarefni, heildsala","46750"
"Litarefni, tilbúin, framleiðsla","20300"
"Litgreining","18130"
"Litir fyrir gler, postulín o.þ.h., framleiðsla","20300"
"Litir fyrir myndlist, framleiðsla","20300"
"Litir, tilbúnir, framleiðsla","20300"
"Litrófsmælar, framleiðsla","26510"
"Litun málma","25610"
"Litun textíla","13300"
"Litur, framleiðsla","20120"
"Lífdýr, heildsala","46230"
"Lífdýr, umboðsverslun","46110"
"Lífeyrissjóðir","65300"
"Líffærabankar","86909"
"Lífræn efnasambönd, framleiðsla","20140"
"Lífræn yfirborðsvirk efni","20410"
"Lífstykki, framleiðsla","14140"
"Lífstykki, heildsala","46420"
"Lífstykki, smásala","47711"
"Líftrygging","65110"
"Líftækni, rannsóknir","72110"
"Lífvarðaþjónusta","80100"
"Líkamsræktarstöðvar","93130"
"Líkbrennsla","96030"
"Líkjörar, framleiðsla","11010"
"Líkkistur, framleiðsla","32990"
"Líkön úr plasti , framleiðsla","22290"
"Líkön úr viði, framleiðsla","16290"
"Lím, framleiðsla","20520"
"Lím, heildsala","46750"
"Límbandshaldarar, framleiðsla","28230"
"Límbönd, pappír, framleiðsla","17230"
"Límbönd, pappír, heildsala","46490"
"Límbönd, plast, framleiðsla","22290"
"Límefni úr bikkenndum efnum, framleiðsla","23990"
"Límmiðar, framleiðsla","17290"
"Límtré, framleiðsla","16210"
"Límtré, heildsala","46730"
"Lín, útleiga","96010"
"Ljósabúnaður fyrr ökutæki, framleiðsla","27400"
"Ljósabúnaður, framleiðsla","27400"
"Ljósabúnaður, heildsala","46470"
"Ljósabúnaður, smásala","47592"
